,Id,degree,group
106,2364490940.0,226,4.0
107,353383284.0,224,2.0
108,174465050.0,221,3.0
109,9.303453487149097e+17,215,
110,2967835289.0,213,4.0
111,1.1870748570932265e+18,213,0.0
112,3311994782.0,211,3.0
113,1125927619.0,211,4.0
114,15800897.0,210,4.0
115,43253719.0,209,0.0
116,547916560.0,208,2.0
117,346906833.0,207,4.0
118,2436880951.0,207,2.0
119,1.0721690952762286e+18,204,4.0
120,351725373.0,202,4.0
121,364650440.0,198,4.0
122,104259954.0,192,0.0
123,1644031105.0,192,4.0
124,3292012480.0,190,0.0
125,367325997.0,188,4.0
126,2992528480.0,185,3.0
127,8.8602631030016e+17,183,0.0
128,133369464.0,181,0.0
129,4828259713.0,179,3.0
130,229380399.0,177,3.0
131,229927287.0,173,4.0
132,347035334.0,173,4.0
133,1.0595506907234058e+18,170,0.0
134,595164057.0,170,2.0
135,261981579.0,166,3.0
136,1.0755161358717788e+18,166,3.0
137,212309060.0,165,1.0
138,37510542.0,164,0.0
139,512165772.0,163,0.0
140,2487627808.0,163,4.0
141,503441835.0,159,4.0
142,24118916.0,157,4.0
143,1390425896.0,156,4.0
144,3644267356.0,156,4.0
145,445208095.0,155,4.0
146,192907472.0,154,3.0
147,1636782774.0,154,4.0
148,765355350.0,153,0.0
149,497448591.0,153,0.0
150,325143109.0,150,3.0
151,243006551.0,146,2.0
152,3403597293.0,145,4.0
153,144548707.0,144,4.0
154,3350101361.0,141,2.0
155,312809460.0,140,3.0
156,46839997.0,140,2.0
157,7.402612364751012e+17,138,
158,700227677.0,138,4.0
159,33603957.0,136,0.0
160,1080115375.0,135,3.0
161,18485722.0,133,2.0
162,2504819123.0,132,2.0
163,2246858662.0,131,3.0
164,479146881.0,127,2.0
165,188579535.0,127,4.0
166,17628471.0,126,4.0
167,325342425.0,125,3.0
168,286735476.0,125,6.0
169,7.385337258735698e+17,124,3.0
170,95797981.0,122,6.0
171,357298321.0,121,3.0
172,23222138.0,121,3.0
173,561102728.0,121,3.0
174,47176191.0,120,0.0
175,1209359622.0,120,0.0
176,233846112.0,119,4.0
177,3307327669.0,118,2.0
178,381517385.0,118,3.0
179,1393271905.0,116,4.0
180,2994002565.0,116,3.0
181,220207373.0,115,3.0
182,413877551.0,114,4.0
183,400444340.0,113,6.0
184,383975239.0,112,6.0
185,66798975.0,109,6.0
186,2165584138.0,108,4.0
187,298344609.0,106,6.0
188,347643058.0,106,6.0
189,606882424.0,105,3.0
190,355607196.0,104,6.0
191,301057332.0,104,6.0
192,528096559.0,104,6.0
193,389849875.0,103,4.0
194,40560852.0,103,3.0
